City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.04,76,3,6.63,PF,1675655583
1,broome,42.2506,-75.833,5.47,60,100,3.6,US,1675655584
2,carnarvon,-24.8667,113.6333,28.56,58,0,8.21,AU,1675655491
3,maitum,6.0392,124.4986,29.19,66,100,2.4,PH,1675655585
4,manzhouli,49.6,117.4333,-16.48,87,16,4.52,CN,1675655586
5,kaeo,-35.1,173.7833,20.26,92,100,2.73,NZ,1675655586
6,wanning,18.8003,110.3967,25.94,68,85,2.46,CN,1675655586
7,urubicha,-15.3833,-62.95,19.97,99,95,0.49,BO,1675655587
8,mar del plata,-38.0023,-57.5575,24.49,72,0,3.6,AR,1675655386
9,dhankuta,26.9833,87.3333,17.13,45,1,1.47,NP,1675655582
10,ushuaia,-54.8,-68.3,5.81,65,0,2.06,AR,1675655588
11,atuona,-9.8,-139.0333,26.08,75,15,7.44,PF,1675655563
12,busselton,-33.65,115.3333,27.16,43,0,5.5,AU,1675655589
13,beyneu,45.3167,55.2,-0.88,82,57,3.74,KZ,1675655590
14,mount gambier,-37.8333,140.7667,21.23,49,8,4.26,AU,1675655473
15,albany,42.6001,-73.9662,4.23,65,100,1.81,US,1675655455
16,sorland,67.667,12.6934,5.92,85,100,13.07,NO,1675655590
17,barrow,71.2906,-156.7887,-30.99,76,40,3.09,US,1675655513
18,sobolevo,54.4299,31.8996,-9.45,96,100,2.03,RU,1675655015
19,ancud,-41.8697,-73.8203,11.17,89,42,1.93,CL,1675655592
20,tomatlan,19.9333,-105.25,19.41,82,0,1.37,MX,1675655592
21,kapaa,22.0752,-159.319,25.99,86,75,6.17,US,1675655593
22,pevek,69.7008,170.3133,-37.94,100,94,1.45,RU,1675655593
23,klaksvik,62.2266,-6.589,9.51,90,100,15.52,FO,1675655594
24,castro,-24.7911,-50.0119,15.73,84,13,2.11,BR,1675655594
25,kharhial,20.2833,82.7667,23.79,17,1,0.76,IN,1675655595
26,kokuy,52.2037,117.5529,-19.72,92,77,1.53,RU,1675655595
27,burns lake,54.2331,-125.7533,-4.32,94,100,1.73,CA,1675655596
28,punta arenas,-53.15,-70.9167,9.06,81,75,3.09,CL,1675655527
29,cherskiy,68.75,161.3,-39.3,99,100,2.0,RU,1675655597
30,mollendo,-17.0231,-72.0147,24.37,79,97,2.34,PE,1675655597
31,auchi,7.0667,6.2667,23.51,94,100,1.53,NG,1675655598
32,lebu,-37.6167,-73.65,15.51,88,0,7.39,CL,1675655485
33,carballo,43.213,-8.691,7.15,92,22,1.95,ES,1675655599
34,upernavik,72.7868,-56.1549,-26.19,94,100,6.15,GL,1675655599
35,leningradskiy,69.3833,178.4167,-30.05,98,100,2.26,RU,1675655600
36,clyde river,70.4692,-68.5914,-29.87,63,0,2.06,CA,1675655600
37,vaini,-21.2,-175.2,29.09,65,40,3.09,TO,1675655490
38,jamestown,42.097,-79.2353,3.17,93,100,4.63,US,1675655601
39,butaritari,3.0707,172.7902,27.09,82,59,8.13,KI,1675655602
40,kandrian,-6.2167,149.55,29.32,72,94,2.75,PG,1675655603
41,vardo,70.3705,31.1107,2.99,81,40,12.35,NO,1675655603
42,kungurtug,50.5994,97.5228,-15.49,93,96,0.6,RU,1675655604
43,hofn,64.2539,-15.2082,4.78,85,100,15.38,IS,1675655604
44,takhatgarh,25.3333,73.0,21.01,42,0,2.32,IN,1675655605
45,cidreira,-30.1811,-50.2056,21.64,84,96,2.3,BR,1675655605
46,hermanus,-34.4187,19.2345,21.0,89,61,5.75,ZA,1675655606
47,seoul,37.5683,126.9778,6.76,57,40,1.54,KR,1675654897
48,donetsk,48.0,37.8,-3.24,77,97,5.0,UA,1675655607
49,mendoza,-32.8908,-68.8272,28.74,37,0,3.09,AR,1675655380
50,ballina,-28.8667,153.5667,29.45,67,93,3.91,AU,1675655608
51,qaanaaq,77.484,-69.3632,-24.09,85,58,2.97,GL,1675655609
52,zaruma,-3.6833,-79.6167,17.12,93,77,0.62,EC,1675655609
53,chuy,-33.6971,-53.4616,18.04,85,0,2.19,UY,1675655610
54,syriam,16.7722,96.2378,26.06,78,13,4.12,MM,1675655610
55,kudahuvadhoo,2.6708,72.8944,27.2,77,100,1.45,MV,1675655611
56,bethel,41.3712,-73.414,4.25,62,0,0.0,US,1675655611
57,tiznit,29.5833,-9.5,9.0,42,5,1.22,MA,1675655025
